# (1) ID
# (2) File
# (3) Description
# (4) Type
# (5) units
1,map.6530_6630.NAME_vel_00.fits.gz, Halpha velocity, velocity, km/s
2,map.6530_6630.NAME_disp_00.fits.gz, Velocity dispersion plus instrumenta one, velocity, AA
3,map.3700_3750.NAME_flux_00.fits.gz, [OII]3727 emission line, flux, 10^-16 erg/s/cm^2
6,map.4800_5050.NAME_flux_00.fits.gz, [OIII]5007 emission line, flux, 10^-16 erg/s/cm^2
7,map.4800_5050.NAME_flux_01.fits.gz, [OIII]4959 emission line, flux, 10^-16 erg/s/cm^2
8,map.4800_5050.NAME_flux_02.fits.gz, Hbeta emission line, flux, 10^-16 erg/s/cm^2
10,map.6530_6630.NAME_flux_00.fits.gz, Halpha emission line, flux, 10^-16 erg/s/cm^2
11,map.6530_6630.NAME_flux_01.fits.gz, [NII]6583 emission line, flux, 10^-16 erg/s/cm^2
12,map.6530_6630.NAME_flux_02.fits.gz, [NII]6548 emission line, flux, 10^-16 erg/s/cm^2
13,map.6680_6770.NAME_flux_00.fits.gz, [SII]6731 emission line, flux, 10^-16 erg/s/cm^2
14,map.6680_6770.NAME_flux_01.fits.gz, [SII]6717 emission line, flux, 10^-16 erg/s/cm^2
